path,split,group_id,class_dir,m1_label,m2_label,m1_class,m2_class
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (136).JPG,train,G000043,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (137).JPG,train,G000044,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (139).JPG,train,G000046,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (140).JPG,train,G000048,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (142).JPG,train,G000050,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (143).JPG,train,G000051,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (144).JPG,train,G000052,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (145).JPG,train,G000053,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (146).JPG,train,G000054,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (147).JPG,train,G000055,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (148).JPG,train,G000056,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (149).JPG,train,G000057,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (150).JPG,train,G000059,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (151).JPG,train,G000060,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (152).JPG,train,G000061,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (153).JPG,train,G000062,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (154).JPG,train,G000063,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (155).JPG,train,G000064,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (156).JPG,train,G000065,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (158).JPG,train,G000067,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (16).JPG,train,G000069,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (160).JPG,train,G000070,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (161).JPG,train,G000071,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (163).JPG,train,G000073,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (165).JPG,train,G000075,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (166).JPG,train,G000076,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (167).JPG,train,G000077,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (168).JPG,train,G000078,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (169).JPG,train,G000079,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (17).JPG,train,G000080,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (172).JPG,train,G000083,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (173).JPG,train,G000084,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (174).JPG,train,G000085,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (175).JPG,train,G000086,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (176).JPG,train,G000087,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (177).JPG,train,G000088,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (178).JPG,train,G000089,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (18).JPG,train,G000091,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (180).JPG,train,G000092,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (181).JPG,train,G000093,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (185).JPG,train,G000097,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (186).JPG,train,G000098,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (187).JPG,train,G000099,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (189).JPG,train,G000101,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (19).JPG,train,G000102,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (190).JPG,train,G000103,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (193).JPG,train,G000106,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (194).JPG,train,G000107,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (195).JPG,train,G000108,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (196).JPG,train,G000109,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (197).JPG,train,G000110,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (198).JPG,train,G000111,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (199).JPG,train,G000112,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (20).JPG,train,G000114,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (201).JPG,train,G000116,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (202).JPG,train,G000117,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (204).JPG,train,G000119,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (205).JPG,train,G000120,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (206).JPG,train,G000121,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (207).JPG,train,G000122,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (208).JPG,train,G000123,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (209).JPG,train,G000124,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (21).JPG,train,G000125,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (210).JPG,train,G000126,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (211).JPG,train,G000127,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (213).JPG,train,G000129,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (214).JPG,train,G000130,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (215).JPG,train,G000131,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (216).JPG,train,G000132,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (217).JPG,train,G000133,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (218).JPG,train,G000134,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (219).JPG,train,G000135,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (22).JPG,train,G000136,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (220).JPG,train,G000137,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (221).JPG,train,G000138,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (222).JPG,train,G000139,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (223).JPG,train,G000140,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (224).JPG,train,G000141,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (227).JPG,train,G000144,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (228).JPG,train,G000145,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (229).JPG,train,G000146,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (230).JPG,train,G000148,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (231).JPG,train,G000149,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (232).JPG,train,G000150,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (233).JPG,train,G000151,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (234).JPG,train,G000152,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (235).JPG,train,G000153,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (236).JPG,train,G000154,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (237).JPG,train,G000155,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (238).JPG,train,G000156,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (24).JPG,train,G000158,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (240).JPG,train,G000159,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (242).JPG,train,G000161,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (244).JPG,train,G000163,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (246).JPG,train,G000165,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
/Users/rishisharma/Dhurandhar/Plant_leave_diseases_dataset_with_augmentation/Apple___Apple_scab/image (247).JPG,train,G000166,Apple___Apple_scab,Apple,Apple___Apple_scab,Apple,Apple___Apple_scab
